"idcat","nomecat"
10,"Atletismo Revezamento 4x100"
11,"Atletismo Revezamento 4x400"
24,"Atletismo Revezamento 4x100"
25,"Atletismo Revezamento 4x400"
29,"Basquete Masculino"
30,"Basquete Feminino"
42,"Futebol Masculino"
43,"Futebol Feminino"
92,"Natacao Revezamento 4x100 Livre"
93,"Natacao Revezamento 4x100 Costa"
109,"Natacao Revezamento 4x100 Livre"
110,"Natacao Revezamento 4x100 Costa"
114,"Tenis de Mesa-Dupla"
115,"Tenis de Quadra-Dupla"
118,"Tenis de Mesa-Dupla"
119,"Tenis de Quadra-Dupla"
120,"Volei Masculino"
121,"Volei Feminino"
