"nomecat","qtdecatarb"
"Natacao 100mt Peito",0
"Ginastica Artistica",0
"Boxe Peso Galo",0
"Hiatismo Classe Prancha-vela",0
"Hipismo Adestramento",0
"Hipismo Saltos",0
"Salto distancia",0
"Natacao 400mt Borboleta",0
"Atletismo Revezamento 4x100",0
"Hiatismo Classe Laser",0
"Hiatismo Classe Soling",0
"Boxe Peso Mosca",0
"Natacao 1500mt Livre",0
"Natacao 200mt Borboleta",0
"Natacao Revezamento 4x100 Livre",0
"Judo Peso Galo",0
"Natacao 100mt Livre",0
"Natacao 50mt Livre",0
"Levantamento de Peso Leve",0
"Salto com vara",0
"Hiatismo Classe Europa",0
"Judo Peso Mosca",0
"Natacao 200mt Peito",0
"Ginastica Aerobica",0
"Futebol Masculino",0
"Natacao Revezamento 4x100 Costa",0
"Boxe Peso Leve",0
"Hiatismo Classe Star",0
"Natacao 100mt Costas",0
"Tenis de Quadra",0
"Levantamento de Peso Mosca",0
"Boxe Peso Medio",0
"Tenis de Quadra-Dupla",0
"Atletismo 400mt barreiras",0
"Levantamento de Peso SuperPesado",0
"Volei Feminino",0
"Hiatismo Classe Tornado",0
"Ginastica Trampolim Acrobatico",0
"Basquete Feminino",0
"Judo Peso Pena",0
"Volei Masculino",0
"Arremesso Dardo",0
"Levantamento de Peso Pena",0
"Boxe Peso SuperPesado",0
"Levantamento de Peso Pesado",0
"Judo Peso SuperPesado",0
"Natacao 400mt Peito",0
"Hiatismo Classe finn",0
"Levantamento de Peso Medio",0
"Boxe Peso Pena",0
"Atletismo Revezamento 4x400",0
"Hipismo Equitacao",0
"Boxe Peso Pesado",0
"Natacao 800mt Livre",0
"Handbool Feminino",0
"Judo Peso Medio",0
"Atletismo 800mt barreiras",0
"Tenis de Mesa-Dupla",0
"Natacao 200mt Costas",0
"Hiatismo Classe 470",0
"Basquete Masculino",0
"Judo Peso Leve",0
"Atletismo 800mt rasos",0
"Ciclismo Pista",0
"Natacao 400mt Livre",0
"Judo Peso Pesado",0
"Tenis de Mesa",0
"Natacao 400mt Costas",0
"Salto triplo",0
"Handbool Masculino",0
"Ciclismo Estrada",0
"Arremesso Disco",0
"Futebol Feminino",0
"Ginastica Ritmica",0
"Levantamento de Peso Galo",0
"Natacao 200mt Livre",0
"Natacao 100mt Borboleta",0
"Salto altura",0
"Arremesso Martelo",2
"Maratona",2
